codigo_cliente;nome_cliente;idade_cliente;email_cliente
45;"Ebony Stevenson";19;adipiscing.fringilla@utlacusNulla.edu
1;"Edgar Augusto";22;edgar.a@unibanco.com.br
31;"Elijah Poole";77;nunc.sit.amet@ut.edu
33;"Emerson Hanson";93;tristique.pellentesque@posuere.edu
11;"Ezra F. Banks";38;iaculis.enim@Phasellusornare.com
30;"Farrah F. Shelton";33;nonummy.ut@ut.net
3;Fernanda;19;fernanda@unibanco.com.br
66;"Fitzgerald W. Gilliam";71;ultrices.Duis@loremlorem.org
10;"Flavia Beck";73;nisl@gravidamaurisut.com
23;"Gannon J. Huffman";69;velit@mauriseu.net
54;"Garrett N. Sellers";69;lobortis@euismodurna.com
83;"Giacomo Hill";29;et@estacmattis.co.uk
14;"Gil N. Barnes";92;nibh@facilisis.edu
53;"Griffith N. Poole";41;Etiam.imperdiet@Aeneanegestashendrerit.co.uk
87;"Hadley Sanford";21;lorem.eu.metus@ligulaNullam.com
46;"Haley Blevins";81;eleifend.Cras@Quisqueporttitoreros.com
51;"Hammett Boone";50;sociis.natoque@at.org
65;"Harper Chang";68;id.libero@arcueuodio.net
62;"Hasad S. Newton";23;sit@nasceturridiculusmus.com
40;"Herman X. Castro";33;est@Phasellus.net
28;"Jane Blanchard";88;tristique.neque.venenatis@sagittislobortismauris.ca
97;"Jared T. Young";80;dis.parturient@InloremDonec.ca
13;"Jena E. Peck";25;pede.Nunc.sed@sit.com
59;"Joel N. Pickett";28;magna.et.ipsum@turpis.com
21;"Jonas Finley";88;ac@metusIn.ca
77;"Kai Boyer";97;vitae.orci@nibh.net
101;"Karina Roberson";100;Praesent@ornare.com
42;"Karyn F. Davidson";47;sociis.natoque.penatibus@nec.edu
93;"Kermit Sharpe";72;urna@Maurisblandit.co.uk
58;"Levi Obrien";20;vitae.purus.gravida@purusgravida.ca
70;"Lilah Hart";26;ac.orci.Ut@velturpisAliquam.ca
71;"Lionel J. Dalton";99;diam.Pellentesque@sapiencursusin.net
16;"Magee J. Cole";42;Duis.sit@suscipit.com
86;"Maite Hill";94;molestie@lectusNullamsuscipit.net
81;"Mary L. Tanner";78;ligula.elit@lacusvariuset.com
17;"Melinda Vance";22;mauris.eu@inlobortis.org
36;"Merrill J. Crane";94;tincidunt.tempus@bibendumfermentummetus.org
79;"Moana Kramer";50;Mauris.magna.Duis@convallis.co.uk
75;"Moses R. Marquez";82;sodales.elit@enimdiam.com
12;"Natalie Y. Hensley";38;amet.risus.Donec@sollicitudincommodo.edu
78;"Nicole Patrick";39;ultricies.ligula.Nullam@ante.net
52;"Nomlanga K. Frederick";59;dapibus@gravida.ca
68;"Ocean I. Foreman";45;mauris.id.sapien@at.org
61;"Octavius K. Mcconnell";54;magna@apurusDuis.com
19;"Omar N. Larsen";48;sit.amet@Duisatlacus.ca
102;"Otto Marquez";37;tincidunt.pede@sollicitudina.org
37;"Owen J. West";54;Morbi.accumsan@lectus.com
56;"Quail Pickett";100;malesuada@augue.edu
82;"Quinlan Kirkland";84;dapibus.rutrum.justo@nuncestmollis.edu
90;"Quinn Haney";55;neque@molestie.ca
84;"Rajah Q. Rodriguez";39;sagittis.Duis.gravida@semPellentesqueut.com
63;"Raya Reid";50;ipsum.primis.in@feugiat.co.uk
76;"Regina H. Lynn";44;faucibus.orci.luctus@mitempor.co.uk
69;"Roary F. Manning";87;Quisque.nonummy@risus.edu
50;"Ronan I. Sparks";23;Proin.mi.Aliquam@Aenean.co.uk
8;"Ronan Walsh";51;quam@sitamet.com
9;"Samson Park";91;posuere.enim.nisl@etultrices.edu
104;"Sandra N. Sharp";37;faucibus.orci.luctus@luctussit.org
29;"Shana R. Williams";58;nibh.enim@nonsollicitudin.com
74;"Shannon Wilkinson";47;malesuada@blanditviverraDonec.co.uk
18;"Shelly Berg";85;Donec.nibh@consectetuereuismod.com
92;"Simone Craft";55;mauris.ipsum.porta@iaculislacus.org
103;"Stephen Horne";85;Cras@arcuNuncmauris.ca
35;"Stuart O. James";82;nisl.elementum@vitaevelitegestas.net
100;"Summer M. Petty";34;ipsum@massa.net
64;"Tarik Osborn";23;magna@dui.co.uk
41;"Taylor Shannon";93;Donec.egestas.Aliquam@consequatdolorvitae.co.uk
60;"Ursula Nunez";55;arcu.Vivamus@liberoProin.org
22;"Vielka E. Estes";26;dapibus.ligula.Aliquam@magna.ca
6;"Willa X. Carter";59;faucibus.id@Mauris.org
39;"Yoko M. Monroe";33;dignissim.Maecenas@metusurnaconvallis.org
